"PassengerID","Survived"
"892","FALSE"
"893","FALSE"
"894","FALSE"
"895","FALSE"
"896","TRUE"
"897","FALSE"
"898","TRUE"
"899","FALSE"
"900","TRUE"
"901","FALSE"
"902","FALSE"
"903","FALSE"
"904","TRUE"
"905","FALSE"
"906","TRUE"
"907","TRUE"
"908","FALSE"
"909","FALSE"
"910","FALSE"
"911","TRUE"
"912","FALSE"
"913","TRUE"
"914","TRUE"
"915","FALSE"
"916","TRUE"
"917","FALSE"
"918","TRUE"
"919","FALSE"
"920","FALSE"
"921","FALSE"
"922","FALSE"
"923","FALSE"
"924","TRUE"
"925","FALSE"
"926","TRUE"
"927","FALSE"
"928","FALSE"
"929","FALSE"
"930","FALSE"
"931","TRUE"
"932","FALSE"
"933","FALSE"
"934","FALSE"
"935","TRUE"
"936","TRUE"
"937","FALSE"
"938","FALSE"
"939","FALSE"
"940","TRUE"
"941","TRUE"
"942","FALSE"
"943","FALSE"
"944","TRUE"
"945","TRUE"
"946","FALSE"
"947","FALSE"
"948","FALSE"
"949","FALSE"
"950","FALSE"
"951","TRUE"
"952","FALSE"
"953","FALSE"
"954","FALSE"
"955","TRUE"
"956","TRUE"
"957","TRUE"
"958","TRUE"
"959","FALSE"
"960","FALSE"
"961","TRUE"
"962","TRUE"
"963","FALSE"
"964","FALSE"
"965","FALSE"
"966","TRUE"
"967","FALSE"
"968","FALSE"
"969","TRUE"
"970","FALSE"
"971","TRUE"
"972","TRUE"
"973","FALSE"
"974","FALSE"
"975","FALSE"
"976","FALSE"
"977","FALSE"
"978","TRUE"
"979","FALSE"
"980","TRUE"
"981","TRUE"
"982","TRUE"
"983","FALSE"
"984","TRUE"
"985","FALSE"
"986","FALSE"
"987","FALSE"
"988","TRUE"
"989","FALSE"
"990","TRUE"
"991","FALSE"
"992","TRUE"
"993","FALSE"
"994","FALSE"
"995","FALSE"
"996","TRUE"
"997","FALSE"
"998","FALSE"
"999","FALSE"
"1000","FALSE"
"1001","FALSE"
"1002","FALSE"
"1003","TRUE"
"1004","TRUE"
"1005","TRUE"
"1006","TRUE"
"1007","FALSE"
"1008","FALSE"
"1009","TRUE"
"1010","FALSE"
"1011","TRUE"
"1012","TRUE"
"1013","FALSE"
"1014","TRUE"
"1015","FALSE"
"1016","FALSE"
"1017","TRUE"
"1018","FALSE"
"1019","TRUE"
"1020","FALSE"
"1021","FALSE"
"1022","FALSE"
"1023","FALSE"
"1024","FALSE"
"1025","FALSE"
"1026","FALSE"
"1027","FALSE"
"1028","FALSE"
"1029","FALSE"
"1030","FALSE"
"1031","FALSE"
"1032","FALSE"
"1033","TRUE"
"1034","FALSE"
"1035","FALSE"
"1036","FALSE"
"1037","FALSE"
"1038","FALSE"
"1039","FALSE"
"1040","TRUE"
"1041","FALSE"
"1042","TRUE"
"1043","FALSE"
"1044","FALSE"
"1045","TRUE"
"1046","FALSE"
"1047","FALSE"
"1048","TRUE"
"1049","TRUE"
"1050","FALSE"
"1051","TRUE"
"1052","TRUE"
"1053","TRUE"
"1054","TRUE"
"1055","FALSE"
"1056","FALSE"
"1057","TRUE"
"1058","FALSE"
"1059","FALSE"
"1060","TRUE"
"1061","FALSE"
"1062","FALSE"
"1063","FALSE"
"1064","FALSE"
"1065","FALSE"
"1066","FALSE"
"1067","TRUE"
"1068","TRUE"
"1069","FALSE"
"1070","TRUE"
"1071","TRUE"
"1072","FALSE"
"1073","FALSE"
"1074","TRUE"
"1075","FALSE"
"1076","TRUE"
"1077","FALSE"
"1078","TRUE"
"1079","FALSE"
"1080","FALSE"
"1081","FALSE"
"1082","FALSE"
"1083","FALSE"
"1084","TRUE"
"1085","FALSE"
"1086","TRUE"
"1087","FALSE"
"1088","TRUE"
"1089","FALSE"
"1090","FALSE"
"1091","TRUE"
"1092","TRUE"
"1093","TRUE"
"1094","TRUE"
"1095","TRUE"
"1096","FALSE"
"1097","FALSE"
"1098","TRUE"
"1099","FALSE"
"1100","TRUE"
"1101","FALSE"
"1102","FALSE"
"1103","FALSE"
"1104","FALSE"
"1105","TRUE"
"1106","TRUE"
"1107","FALSE"
"1108","TRUE"
"1109","FALSE"
"1110","TRUE"
"1111","FALSE"
"1112","TRUE"
"1113","FALSE"
"1114","TRUE"
"1115","FALSE"
"1116","TRUE"
"1117","TRUE"
"1118","FALSE"
